时间顺序排序	地区	正式指标	正式数值	正式单位
2013年10月	中国	采矿业增加值同比增长	4.3	%
2013年11月	中国	采矿业增加值同比增长	5.6	%
2013年12月	中国	采矿业增加值同比增长	5.4	%
2013年6月	中国	采矿业增加值同比增长	5.8	%
2013年7月	中国	采矿业增加值同比增长	5.5	%
2013年8月	中国	采矿业增加值同比增长	5.8	%
2013年9月	中国	采矿业增加值同比增长	4.9	%
2014年10月	中国	采矿业增加值同比增长	4.7	%
2014年11月	中国	采矿业增加值同比增长	3	%
2014年12月	中国	采矿业增加值同比增长	3.4	%
2014年3月	中国	采矿业增加值同比增长	2.9	%
2014年4月	中国	采矿业增加值同比增长	4.5	%
2014年5月	中国	采矿业增加值同比增长	4.3	%
2014年6月	中国	采矿业增加值同比增长	7.9	%
2014年7月	中国	采矿业增加值同比增长	6.2	%
2014年8月	中国	采矿业增加值同比增长	4.2	%
2014年9月	中国	采矿业增加值同比增长	3.9	%
2015年10月	中国	采矿业增加值同比增长	0.4	%
2015年11月	中国	采矿业增加值同比增长	0.3	%
2015年12月	中国	采矿业增加值同比增长	1.4	%
2015年3月	中国	采矿业增加值同比增长	1.4	%
2015年4月	中国	采矿业增加值同比增长	2.8	%
2015年5月	中国	采矿业增加值同比增长	3.9	%
2015年6月	中国	采矿业增加值同比增长	2.7	%
2015年7月	中国	采矿业增加值同比增长	5.6	%
2015年8月	中国	采矿业增加值同比增长	4	%
2015年9月	中国	采矿业增加值同比增长	1.2	%
2016年3月	中国	采矿业增加值同比增长	3.1	%
2016年4月	中国	采矿业增加值同比增长	0.1	%
2016年5月	中国	采矿业增加值同比增长	-2.3	%
2016年6月	中国	采矿业增加值同比增长	-2.4	%
2016年7月	中国	采矿业增加值同比增长	-3.1	%
2016年8月	中国	采矿业增加值同比增长	-1.3	%
2016年9月	中国	采矿业增加值同比增长	0.1	%
