时间顺序排序	地区	正式指标	正式数值	正式单位
2014年	中国	GDP	636463	亿元
2015年	中国	GDP	676707.8	亿元
2014年	中国	人均GDP	46629	元
2014年	中国	GDP指数	107.3	(上年=100)
2014年	中国	人均GDP指数	106.7	(上年=100)
2014年	中国	人均GDP增长率	6.8	%
