地区	正式指标	正式数值
北京市	县级区划数	16
北京市	市辖区个数	14
天津市	县级区划数	16
天津市	市辖区个数	13
河北省	县级区划数	172
河北省	市辖区个数	37
山西省	县级区划数	119
山西省	市辖区个数	23
内蒙古	县级区划数	102
内蒙古	市辖区个数	22
辽宁省	县级区划数	100
辽宁省	市辖区个数	56
吉林省	县级区划数	60
吉林省	市辖区个数	20
黑龙江	县级区划数	128
黑龙江	市辖区个数	64
上海市	县级区划数	17
上海市	市辖区个数	16
江苏省	县级区划数	100
江苏省	市辖区个数	55
浙江省	县级区划数	90
浙江省	市辖区个数	34
安徽省	县级区划数	105
安徽省	市辖区个数	43
福建省	县级区划数	85
福建省	市辖区个数	26
江西省	县级区划数	100
江西省	市辖区个数	20
山东省	县级区划数	137
山东省	市辖区个数	48
河南省	县级区划数	159
河南省	市辖区个数	50
湖北省	县级区划数	103
湖北省	市辖区个数	38
湖南省	市辖区个数	35
湖南省	县级区划数	122
广东省	市辖区个数	58
广东省	县级区划数	121
广西	县级区划数	110
广西	市辖区个数	36
海南省	市辖区个数	4
海南省	县级区划数	20
重庆市	县级区划数	38
重庆市	市辖区个数	19
四川省	县级区划数	183
四川省	市辖区个数	48
贵州省	县级区划数	88
贵州省	市辖区个数	13
云南省	县级区划数	129
云南省	市辖区个数	13
西藏	市辖区个数	1
西藏	县级区划数	74
陕西省	县级区划数	107
陕西省	市辖区个数	24
甘肃省	县级区划数	86
甘肃省	市辖区个数	17
青海省	县级区划数	43
青海省	市辖区个数	5
宁夏	县级区划数	22
宁夏	市辖区个数	9
新疆	县级区划数	101
新疆	市辖区个数	11
