时间顺序排序	地区	正式指标	正式数值	正式单位
2002年	中国	猪肉价格均值	9.85	元/公斤
2003年	中国	猪肉价格均值	10.69	元/公斤
2004年	中国	猪肉价格均值	13.97	元/公斤
2005年	中国	猪肉价格均值	13.39	元/公斤
2006年	中国	猪肉价格均值	12.3	元/公斤
2007年	中国	猪肉价格均值	18.93	元/公斤
2008年	中国	猪肉价格均值	23.52	元/公斤
2009年	中国	猪肉价格均值	18.56	元/公斤
2010年	中国	猪肉价格均值	18.93	元/公斤
2011年	中国	猪肉价格均值	26.42	元/公斤
2012年	中国	猪肉价格均值	24.39	元/公斤
2013年	中国	猪肉价格均值	24.15	元/公斤
2014年	中国	猪肉价格均值	22.26	元/公斤
2015年	中国	猪肉价格均值	24.51	元/公斤
2002年	中国	羊肉价格	15.16	元/公斤
2003年	中国	羊肉价格	16.16	元/公斤
2004年	中国	羊肉价格	16.98	元/公斤
2005年	中国	羊肉价格	18.17	元/公斤
2006年	中国	羊肉价格	19.15	元/公斤
2007年	中国	羊肉价格	24.26	元/公斤
2008年	中国	羊肉价格	32.36	元/公斤
2009年	中国	羊肉价格	33.28	元/公斤
2010年	中国	羊肉价格	36.26	元/公斤
2011年	中国	羊肉价格	44.55	元/公斤
2012年	中国	羊肉价格	53.39	元/公斤
2013年	中国	羊肉价格	61.87	元/公斤
2014年	中国	羊肉价格	64.87	元/公斤
2015年	中国	羊肉价格	61.48	元/公斤
2002年	中国	牛肉价格	13.66	元/公斤
2003年	中国	牛肉价格	14.99	元/公斤
2004年	中国	牛肉价格	16.21	元/公斤
2005年	中国	牛肉价格	17.35	元/公斤
2006年	中国	牛肉价格	18.16	元/公斤
2007年	中国	牛肉价格	22.09	元/公斤
2008年	中国	牛肉价格	30.99	元/公斤
2009年	中国	牛肉价格	32.05	元/公斤
2010年	中国	牛肉价格	33.17	元/公斤
2011年	中国	牛肉价格	36.74	元/公斤
2012年	中国	牛肉价格	45.6	元/公斤
2013年	中国	牛肉价格	57.51	元/公斤
2014年	中国	牛肉价格	61.39	元/公斤
2015年	中国	牛肉价格	61.81	元/公斤
2002年	中国	鸡肉价格	8.39	元/公斤
2003年	中国	鸡肉价格	8.8	元/公斤
2004年	中国	鸡肉价格	10.09	元/公斤
2005年	中国	鸡肉价格	10.46	元/公斤
2006年	中国	鸡肉价格	9.93	元/公斤
2007年	中国	鸡肉价格	12.74	元/公斤
2008年	中国	鸡肉价格	13.87	元/公斤
2009年	中国	鸡肉价格	11.7	元/公斤
2010年	中国	鸡肉价格	12.93	元/公斤
2011年	中国	鸡肉价格	16.2	元/公斤
2012年	中国	鸡肉价格	16.71	元/公斤
2013年	中国	鸡肉价格	16.94	元/公斤
2014年	中国	鸡肉价格	18.14	元/公斤
2015年	中国	鸡肉价格	18.65	元/公斤
2002年	中国	仔猪价格	7.37	元/公斤
2003年	中国	仔猪价格	7.9	元/公斤
2004年	中国	仔猪价格	12.14	元/公斤
2005年	中国	仔猪价格	12.35	元/公斤
2006年	中国	仔猪价格	8.93	元/公斤
2007年	中国	仔猪价格	16.84	元/公斤
2008年	中国	仔猪价格	26.42	元/公斤
2009年	中国	仔猪价格	16.75	元/公斤
2010年	中国	仔猪价格	15.5	元/公斤
2011年	中国	仔猪价格	26.83	元/公斤
2012年	中国	仔猪价格	27.54	元/公斤
2013年	中国	仔猪价格	25.68	元/公斤
2014年	中国	仔猪价格	22.3	元/公斤
2015年	中国	仔猪价格	26.1	元/公斤
2002年	中国	猪肉产量	5342.7	万吨
2003年	中国	猪肉产量	5060.4	万吨
2004年	中国	猪肉产量	5071.2	万吨
2005年	中国	猪肉产量	4890.8	万吨
2006年	中国	猪肉产量	4620.5	万吨
2007年	中国	猪肉产量	4287.8	万吨
2008年	中国	猪肉产量	4650.5	万吨
2009年	中国	猪肉产量	4555.3	万吨
2010年	中国	猪肉产量	4341	万吨
2011年	中国	猪肉产量	4238.6	万吨
2012年	中国	猪肉产量	4123.1	万吨
2013年	中国	猪肉产量	4051.7	万吨
2014年	中国	猪肉产量	3966	万吨
2015年	中国	猪肉产量	5487	万吨
2002年	中国	人均GDP	1131	美元
2003年	中国	人均GDP	1269	美元
2004年	中国	人均GDP	1486	美元
