时间顺序排序	地区	正式指标	正式数值	正式单位
2014年	中国	学前教育入园(班)人数	19877752	人
2014年	中国	城区学前教育入园(班)人数	5655625	人
2014年	中国	城区学前教育离园(班)人数	4563297	人
2014年	中国	城乡结合区学前教育入园(班)人数	1051667	人
2014年	中国	城乡结合区学前教育离园(班)人数	800039	人
2014年	中国	镇区学前教育入园(班)人数	7799190	人
2014年	中国	乡村学前教育入园(班)人数	6422937	人
