时间顺序排序	地区	正式指标	正式数值	正式单位
2011年	中国	中等职业学校数	13093	所
2012年	中国	中等职业学校数	9762	所
2013年	中国	中等职业学校数	12262	所
2014年	中国	中等职业学校数	9060	所
2011年	中国	普通高中数	13688	所
2012年	中国	普通高中数	13509	所
2013年	中国	普通高中数	13352	所
2014年	中国	普通高中数	13253	所
