时间顺序排序	地区	正式指标	正式数值	正式单位
2012年	北京市	GDP	17879.4	亿元
2013年	北京市	GDP	19500.6	亿元
2014年	北京市	GDP	21330.8	亿元
2012年	北京市	人均GDP指数	104.9	(上年=100)
2013年	北京市	人均GDP指数	105.2	(上年=100)
2014年	北京市	人均GDP指数	105.2	(上年=100)
2012年	北京市	人均GDP	87475	元
2013年	北京市	人均GDP	93213	元
2014年	北京市	人均GDP	99995	元
2012年	北京市	GDP指数	107.7	(上年=100)
2013年	北京市	GDP指数	107.7	(上年=100)
2014年	北京市	GDP指数	107.3	(上年=100)
