时间顺序排序	地区	正式指标	正式数值	正式单位
1952年	中国	第一产业增加值	346	亿元
1953年	中国	第一产业增加值	381.4	亿元
1952年	中国	人均GDP	119.4	元
1953年	中国	人均GDP	142	元
1953年	中国	人均GDP指数	113.1	(上年=100)
1949年	中国	国民总收入	358	亿元
1950年	中国	国民总收入	426	亿元
1951年	中国	国民总收入	497	亿元
1952年	中国	国民总收入	679	亿元
1953年	中国	国民总收入	824.2	亿元
1953年	中国	国民总收入指数	115.6	(上年=100)
