时间顺序排序	地区	正式指标	正式数值	正式单位
2013年	中国	GDP	568845.2	亿元
2014年	中国	GDP	636463	亿元
2015年	中国	GDP	676707.8	亿元
2013年	中国	第一产业增加值	56957	亿元
2014年	中国	第一产业增加值	58332	亿元
2015年	中国	第一产业增加值	60863	亿元
2013年	中国	第二产业增加值	249684.4	亿元
2014年	中国	第二产业增加值	271392	亿元
2015年	中国	第二产业增加值	274277.8	亿元
2013年	中国	第三产业增加值	262203.8	亿元
2014年	中国	第三产业增加值	306739	亿元
2015年	中国	第三产业增加值	341566.9	亿元
2013年	中国	人均GDP	41907.59	元
2014年	中国	人均GDP	46629	元
