时间顺序排序	地区	正式指标	正式数值	正式单位
2013年	中国	GDP	568845.2	亿元
2014年	中国	GDP	636463	亿元
2013年	中国	人均GDP指数	107.1409	(上年=100)
2014年	中国	人均GDP指数	106.7	(上年=100)
