时间顺序排序	地区	正式指标	正式数值	正式单位
2011年	中国	GDP	473104	亿元
2012年	中国	GDP	518942.1	亿元
2013年	中国	GDP	568845.2	亿元
2014年	中国	GDP	636463	亿元
2011年	中国	第一产业增加值	47486.2	亿元
2012年	中国	第一产业增加值	52373.6	亿元
2013年	中国	第一产业增加值	56957	亿元
2014年	中国	第一产业增加值	58332	亿元
