时间顺序排序	地区	正式指标	正式数值	正式单位
2013年	北京市	GDP	19500.6	亿元
2014年	北京市	GDP	21330.8	亿元
2013年	北京市	人均GDP指数	105.2	(上年=100)
2014年	北京市	人均GDP指数	105.2	(上年=100)
