时间顺序排序	地区	正式指标	正式数值	正式单位
2012年	中国	产品畜价格指数	104.6	(上年=100)
2013年	中国	产品畜价格指数	100.306	(上年=100)
2014年	中国	产品畜价格指数	97.8	(上年=100)
2012年	中国	地级区划数	333	个
2013年	中国	地级区划数	333	个
2014年	中国	地级区划数	333	个
2012年	中国	GDP指数	107.7	(上年=100)
2013年	中国	GDP指数	107.6712	(上年=100)
2014年	中国	GDP指数	107.3	(上年=100)
2012年	中国	梨生产价格指数	102.66	(上年=100)
