时间顺序排序	地区	正式指标	正式数值	正式单位
2012年	中国	进出口贸易差额	2312	亿美元
2013年	中国	进出口贸易差额	2597.3	亿美元
2014年	中国	进出口贸易差额	3824	亿美元
2012年	中国	人民币对100美元年平均汇价	631.25	元
2013年	中国	人民币对100美元年平均汇价	619.32	元
2014年	中国	人民币对100美元年平均汇价	614.28	元
2012年	中国	城市居民消费价格指数	102.7	(上年=100)
2013年	中国	城市居民消费价格指数	102.5786	(上年=100)
2014年	中国	城市居民消费价格指数	102.1	(上年=100)
