时间顺序排序	地区	正式指标	正式数值	正式单位
2014年	中国	GDP	636463	亿元
2014年	中国	第一产业增加值	58332	亿元
2014年	中国	第二产业增加值	271392	亿元
2014年	中国	第三产业增加值	306739	亿元
