时间顺序排序	地区	正式指标	正式数值	正式单位
2001年	北京市	房地产开发企业(单位)土地购置面积	1471.8	万平方米
2002年	北京市	房地产开发企业(单位)土地购置面积	2092.5	万平方米
2003年	北京市	房地产开发企业(单位)土地购置面积	1409.6	万平方米
2004年	北京市	房地产开发企业(单位)土地购置面积	1572.5	万平方米
2005年	北京市	房地产开发企业(单位)土地购置面积	773.9	万平方米
2006年	北京市	房地产开发企业(单位)土地购置面积	295.01	万平方米
2007年	北京市	房地产开发企业(单位)土地购置面积	391.55	万平方米
2008年	北京市	房地产开发企业(单位)土地购置面积	823.4351	万平方米
2009年	北京市	房地产开发企业(单位)土地购置面积	625.0067	万平方米
2010年	北京市	房地产开发企业(单位)土地购置面积	858.7483	万平方米
2011年	北京市	房地产开发企业(单位)土地购置面积	507	万平方米
2012年	北京市	房地产开发企业(单位)土地购置面积	305.99	万平方米
2013年	北京市	房地产开发企业(单位)土地购置面积	906	万平方米
2014年	北京市	房地产开发企业(单位)土地购置面积	581	万平方米
2000年	北京市	房地产待开发土地面积	482.7676	万平方米
2001年	北京市	房地产待开发土地面积	738.9331	万平方米
2002年	北京市	房地产待开发土地面积	838.1342	万平方米
2003年	北京市	房地产待开发土地面积	1957.2543	万平方米
2004年	北京市	房地产待开发土地面积	3803.7223	万平方米
2005年	北京市	房地产待开发土地面积	2914.8022	万平方米
2006年	北京市	房地产待开发土地面积	1906.5334	万平方米
2007年	北京市	房地产待开发土地面积	2736.4442	万平方米
2008年	北京市	房地产待开发土地面积	1977.9058	万平方米
2009年	北京市	房地产待开发土地面积	1104.011	万平方米
2010年	北京市	房地产待开发土地面积	401.3328	万平方米
2011年	北京市	房地产待开发土地面积	199.8386	万平方米
2012年	北京市	房地产待开发土地面积	150.4	万平方米
2013年	北京市	房地产待开发土地面积	690.799	万平方米
2014年	北京市	房地产待开发土地面积	617.66	万平方米
2000年	北京市	商品房平均销售价格	4919	元/平方米
2001年	北京市	商品房平均销售价格	5062	元/平方米
2002年	北京市	商品房平均销售价格	4764	元/平方米
2003年	北京市	商品房平均销售价格	4764	元/平方米
2004年	北京市	商品房平均销售价格	5053	元/平方米
2005年	北京市	商品房平均销售价格	6788	元/平方米
2006年	北京市	商品房平均销售价格	8280	元/平方米
2007年	北京市	商品房平均销售价格	11553.26	元/平方米
2008年	北京市	商品房平均销售价格	12418	元/平方米
2009年	北京市	商品房平均销售价格	13799	元/平方米
2010年	北京市	商品房平均销售价格	17782	元/平方米
2011年	北京市	商品房平均销售价格	16851.95	元/平方米
2012年	北京市	商品房平均销售价格	17022	元/平方米
2013年	北京市	商品房平均销售价格	18553	元/平方米
2014年	北京市	商品房平均销售价格	18833	元/平方米
2000年	北京市	年末金融机构各项贷款余额	60082085	万元
2001年	北京市	年末金融机构各项贷款余额	72029099	万元
2002年	北京市	年末金融机构各项贷款余额	92308000	万元
2003年	北京市	年末金融机构各项贷款余额	113147127	万元
2004年	北京市	年末金融机构各项贷款余额	135780000	万元
2005年	北京市	年末金融机构各项贷款余额	153360000	万元
2006年	北京市	年末金融机构各项贷款余额	181320000	万元
2007年	北京市	年末金融机构各项贷款余额	198620000	万元
2008年	北京市	年末金融机构各项贷款余额	230110000	万元
2009年	北京市	年末金融机构各项贷款余额	310529000	万元
2010年	北京市	年末金融机构各项贷款余额	295638000	万元
2011年	北京市	年末金融机构各项贷款余额	317912900	万元
2012年	北京市	年末金融机构各项贷款余额	345179846	万元
2013年	北京市	年末金融机构各项贷款余额	404639000	万元
2014年	北京市	年末金融机构各项贷款余额	454587000	万元
2000年	北京市	GDP增长率	11	%
2001年	北京市	GDP增长率	11.7	%
2002年	北京市	GDP增长率	11.5	%
2003年	北京市	GDP增长率	11.1	%
2004年	北京市	GDP增长率	14.1	%
2005年	北京市	GDP增长率	11.8	%
2006年	北京市	GDP增长率	13	%
2007年	北京市	GDP增长率	13.34	%
2008年	北京市	GDP增长率	9.1	%
2009年	北京市	GDP增长率	10.2	%
2010年	北京市	GDP增长率	10.3	%
2011年	北京市	GDP增长率	8.1	%
2012年	北京市	GDP增长率	7.7	%
2013年	北京市	GDP增长率	7.7	%
2014年	北京市	GDP增长率	7.3	%
