时间顺序排序	地区	正式指标	正式数值	正式单位
2013年	中国	国民总收入	566130.18	亿元
2014年	中国	国民总收入	634043.4	亿元
2013年	中国	国民总收入指数	107.4169	(上年=100)
2014年	中国	国民总收入指数	107.8	(上年=100)
2013年	中国	资本形成总额	280356.11	亿元
2014年	中国	资本形成总额	293783.1	亿元
2013年	中国	固定资本形成总额	269075.4	亿元
2014年	中国	固定资本形成总额	283017.6	亿元
2013年	中国	政府最终消费支出	79978.1	亿元
