地区	正式指标	正式数值
广州市	城市建区面积	1035
广州市	市区非农业人口	724
广州市	年末实有城市道路面积	10241
广州市	人均城市道路面积	9.34
广州市	居民生活用水	8.87
广州市	邮电业务总量	838.4
广州市	地区生产总值	16706.9
广州市	第二产业占GDP的比重	33.47
广州市	第三产业占GDP的比重	65.23
广州市	GDP增长率	8.34
广州市	工业增加值	5070.63
广州市	人均地区生产总值	137967
广州市	年末金融机构存款余额	35469.29
广州市	年末金融机构贷款余额	24231.71
广州市	城乡居民储蓄年末余额	128256427
广州市	全社会固定资产投资	4889.5
广州市	社会消费品零售总额	7144
广州市	城镇居民家庭人均可支配收入	42954.6
广州市	科技活动人员数	80623
广州市	研发经费总支出	192.97
广州市	专利申请数	46330
广州市	普通高校在校学生数	101.93
广州市	进出口总额	13059982.39
广州市	客运总量	97996.74
广州市	货运总量	90207
广州市	地方财政预算内收入	1243.1
广州市	地方财政预算内支出	1436.22
广州市	污水处理率	98.7
广州市	生活垃圾无害化处理率	91.5
广州市	建成区绿化覆盖率	40.2
广州市	人均公园绿地面积	20.19
广州市	公共图书馆数	15
广州市	居民消费价格指数	102.3
深圳市	城市建区面积	890
深圳市	市区非农业人口	260
深圳市	年末实有城市道路面积	11496
深圳市	人均城市道路面积	9.12
深圳市	居民生活用水	9.12
深圳市	邮电业务总量	761.99
深圳市	地区生产总值	16001.8
深圳市	第二产业占GDP的比重	42.57
深圳市	第三产业占GDP的比重	57.39
深圳市	GDP增长率	10.36
深圳市	工业增加值	6362.39
深圳市	人均地区生产总值	149495
深圳市	年末金融机构存款余额	37350.5
深圳市	年末金融机构贷款余额	27922.13
深圳市	城乡居民储蓄年末余额	99740100
深圳市	全社会固定资产投资	2717.42
深圳市	社会消费品零售总额	4840
深圳市	城镇居民家庭人均可支配收入	40948
深圳市	科技活动人员数	176345
深圳市	研发经费总支出	588.35
深圳市	专利申请数	82254
深圳市	普通高校在校学生数	8.77
深圳市	进出口总额	48776510.17
深圳市	客运总量	15113
深圳市	货运总量	29183
深圳市	地方财政预算内收入	2082.73
深圳市	地方财政预算内支出	2166.18
深圳市	污水处理率	96.6
深圳市	生活垃圾无害化处理率	100
深圳市	建成区绿化覆盖率	45.1
深圳市	人均公园绿地面积	16.84
深圳市	公共图书馆数	11
深圳市	居民消费价格指数	102
南京市	城市建区面积	734
南京市	市区非农业人口	542
南京市	年末实有城市道路面积	12761
南京市	人均城市道路面积	19.78
南京市	居民生活用水	3.66
南京市	邮电业务总量	211.17
南京市	地区生产总值	8820.8
南京市	第二产业占GDP的比重	41.08
南京市	第三产业占GDP的比重	56.49
南京市	GDP增长率	10.1
南京市	工业增加值	3119.12
南京市	人均地区生产总值	107545
南京市	年末金融机构存款余额	20733.39
南京市	年末金融机构贷款余额	16448.55
南京市	城乡居民储蓄年末余额	50557718
南京市	全社会固定资产投资	5430.77
南京市	社会消费品零售总额	4167
南京市	城镇居民家庭人均可支配收入	42568
南京市	科技活动人员数	1176800
南京市	研发经费总支出	262.86
南京市	专利申请数	56108
南京市	普通高校在校学生数	70.23
南京市	进出口总额	5722022.93
南京市	客运总量	15269.11
