时间顺序排序	地区	正式指标	正式数值	正式单位
1952年	中国	GDP	679	亿元
1953年	中国	GDP	824.2	亿元
1954年	中国	GDP	859.4	亿元
1952年	中国	人均GDP	119.4	元
1953年	中国	人均GDP	142	元
1954年	中国	人均GDP	144.4	元
1953年	中国	GDP指数	115.6	(上年=100)
1954年	中国	GDP指数	104.2	(上年=100)
