Tue, 08 Dec 2015 19:25:33 utils.py[line:89] DEBUG (0.002) QUERY = u'SELECT "demo_sdmodel"."id", "demo_sdmodel"."created", "demo_sdmodel"."created_time", "demo_sdmodel"."sdmethod", "demo_sdmodel"."table", "demo_sdmodel"."c", "demo_sdmodel"."s", "demo_sdmodel"."b" FROM "demo_sdmodel" LIMIT 21' - PARAMS = (); args=()
Tue, 08 Dec 2015 19:25:44 utils.py[line:89] DEBUG (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
Tue, 08 Dec 2015 19:25:44 utils.py[line:89] DEBUG (0.001) QUERY = u'INSERT INTO "demo_sdmodel" ("created", "created_time", "sdmethod", "table", "c", "s", "b") VALUES (%s, %s, %s, %s, %s, %s, %s)' - PARAMS = (u'2015-12-08', u'19-25-40', u'sd_pca', u'test', u'', u'', u''); args=[u'2015-12-08', u'19-25-40', u'sd_pca', u'test', '', '', '']
Tue, 08 Dec 2015 19:25:55 views.py[line:49] INFO cal...........
Tue, 08 Dec 2015 19:27:22 __init__.py[line:249] DEBUG Successfuly imported extension module "markdown.extensions.headerid".
Tue, 08 Dec 2015 19:27:22 __init__.py[line:190] DEBUG Successfully loaded extension "markdown.extensions.headerid.HeaderIdExtension".
Tue, 08 Dec 2015 19:27:36 utils.py[line:89] DEBUG (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
Tue, 08 Dec 2015 19:27:36 utils.py[line:89] DEBUG (0.002) QUERY = u'INSERT INTO "demo_sdmodel" ("created", "created_time", "sdmethod", "table", "c", "s", "b") VALUES (%s, %s, %s, %s, %s, %s, %s)' - PARAMS = (u'2015-12-08', u'19-27-34', u'sd_pca', u'test', u'', u'', u''); args=[u'2015-12-08', u'19-27-34', u'sd_pca', u'test', '', '', '']
Tue, 08 Dec 2015 20:17:43 views.py[line:49] INFO cal...........
Wed, 09 Dec 2015 12:55:23 utils.py[line:89] DEBUG (0.002) QUERY = u'SELECT "demo_sdmodel"."id", "demo_sdmodel"."created", "demo_sdmodel"."created_time", "demo_sdmodel"."sdmethod", "demo_sdmodel"."table", "demo_sdmodel"."c", "demo_sdmodel"."s", "demo_sdmodel"."b" FROM "demo_sdmodel" LIMIT 21' - PARAMS = (); args=()
Wed, 09 Dec 2015 13:01:48 utils.py[line:89] DEBUG (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
Wed, 09 Dec 2015 13:01:48 utils.py[line:89] DEBUG (0.001) QUERY = u'INSERT INTO "demo_sdmodel" ("created", "created_time", "sdmethod", "table", "c", "s", "b") VALUES (%s, %s, %s, %s, %s, %s, %s)' - PARAMS = (u'2015-12-09', u'12-55-34', u'sd_pca', u'test', u'2', u'', u''); args=[u'2015-12-09', u'12-55-34', u'sd_pca', u'test', u'2', '', '']
Wed, 09 Dec 2015 13:01:56 utils.py[line:89] DEBUG (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
Wed, 09 Dec 2015 13:01:56 utils.py[line:89] DEBUG (0.001) QUERY = u'INSERT INTO "demo_sdmodel" ("created", "created_time", "sdmethod", "table", "c", "s", "b") VALUES (%s, %s, %s, %s, %s, %s, %s)' - PARAMS = (u'2015-12-09', u'13-01-52', u'sd_pca', u'test', u'2', u'', u''); args=[u'2015-12-09', u'13-01-52', u'sd_pca', u'test', u'2', '', '']
Wed, 09 Dec 2015 13:02:08 views.py[line:49] INFO cal...........
Wed, 09 Dec 2015 13:02:21 views.py[line:49] INFO cal...........
Wed, 09 Dec 2015 13:02:37 sd_pca.py[line:53] INFO start sd_pca
Wed, 09 Dec 2015 13:02:51 sd_pca.py[line:53] INFO start sd_pca
Wed, 09 Dec 2015 13:02:52 __init__.py[line:249] DEBUG Successfuly imported extension module "markdown.extensions.headerid".
Wed, 09 Dec 2015 13:02:52 __init__.py[line:190] DEBUG Successfully loaded extension "markdown.extensions.headerid.HeaderIdExtension".
Wed, 09 Dec 2015 13:02:54 __init__.py[line:249] DEBUG Successfuly imported extension module "markdown.extensions.headerid".
Wed, 09 Dec 2015 13:02:54 __init__.py[line:190] DEBUG Successfully loaded extension "markdown.extensions.headerid.HeaderIdExtension".
2015-12-11 10:26:35,772 sd_em.py[line:60] INFO start sd_em
2015-12-11 10:26:41,382 sd_em.py[line:64] INFO cleaned  area:北京市 天津市 山西省 河北省
2015-12-11 10:26:41,383 sd_em.py[line:65] INFO selected indi:GDP 第一产业增加值 第三产业增加值 第二产业增加值
2015-12-11 14:35:27,399 sd_em.py[line:60] INFO start sd_em
2015-12-11 14:35:31,311 sd_em.py[line:64] INFO cleaned  area:北京市 天津市 山西省 河北省
2015-12-11 14:35:31,312 sd_em.py[line:65] INFO selected indi:GDP 第一产业增加值 第三产业增加值 第二产业增加值
2015-12-18 11:32:35,682 sd_em.py[line:60] INFO start sd_em
2015-12-18 11:32:42,791 sd_em.py[line:64] INFO cleaned  area:北京市 天津市 山西省 河北省
2015-12-18 11:32:42,794 sd_em.py[line:65] INFO selected indi:GDP 第一产业增加值 第三产业增加值 第二产业增加值
2015-12-24 10:45:37,012 sd_em.py[line:60] INFO start sd_em
2015-12-24 10:45:41,722 sd_em.py[line:64] INFO cleaned  area:内蒙古 北京市 天津市 山西省 河北省
2015-12-24 10:45:41,725 sd_em.py[line:65] INFO selected indi:GDP 第一产业增加值 第三产业增加值 第二产业增加值
2015-12-24 15:56:00,815 sd_em.py[line:60] INFO start sd_em
2015-12-24 16:03:55,136 sd_em.py[line:60] INFO start sd_em
2015-12-24 16:08:25,139 sd_em.py[line:60] INFO start sd_em
2016-01-06 09:03:33,809 sd_em.py[line:60] INFO start sd_em
2016-01-06 09:03:37,214 sd_em.py[line:64] INFO cleaned  area:内蒙古 北京市 天津市 山西省 河北省
2016-01-06 09:03:37,216 sd_em.py[line:65] INFO selected indi:GDP 第一产业增加值 第三产业增加值 第二产业增加值
2016-01-06 12:59:29,418 sd_em.py[line:60] INFO start sd_em
2016-01-06 12:59:34,523 sd_em.py[line:64] INFO cleaned  area:内蒙古 北京市 天津市 山西省 河北省
2016-01-06 12:59:34,524 sd_em.py[line:65] INFO selected indi:GDP 第一产业增加值 第三产业增加值 第二产业增加值
2016-04-14 09:30:39,108 sd_em.py[line:59] INFO start sd_em
2016-04-14 09:30:39,128 sd_em.py[line:63] INFO cleaned  area:咸阳市 商洛市 安康市 宝鸡市 延安市 榆林市 汉中市 渭南市 西安市 铜川市
2016-04-14 09:30:39,128 sd_em.py[line:64] INFO selected indi:固定资产投资额 常住人口 第一产业增加值 第三产业增加值 第二产业增加值 粮食产量
2016-04-26 14:35:29,948 sd_em.py[line:59] INFO start sd_em
2016-04-26 14:35:29,960 sd_em.py[line:63] INFO cleaned  area:中国 北京市 河北省
2016-04-26 14:35:29,960 sd_em.py[line:64] INFO selected indi:GDP GDP指数
2016-04-26 14:35:39,831 sd_em.py[line:59] INFO start sd_em
2016-04-26 14:35:39,842 sd_em.py[line:63] INFO cleaned  area:中国 北京市 河北省 西藏
2016-04-26 14:35:39,842 sd_em.py[line:64] INFO selected indi:GDP GDP指数
2016-04-26 14:35:53,697 sd_em.py[line:59] INFO start sd_em
2016-04-26 14:35:53,710 sd_em.py[line:63] INFO cleaned  area:中国 北京市 河北省 西藏
2016-04-26 14:35:53,710 sd_em.py[line:64] INFO selected indi:GDP GDP指数
2016-04-26 14:36:14,796 sd_em.py[line:59] INFO start sd_em
2016-04-26 14:36:14,809 sd_em.py[line:63] INFO cleaned  area:中国 北京市 河北省 西藏
2016-04-26 14:36:14,809 sd_em.py[line:64] INFO selected indi:GDP
2016-04-26 14:36:19,454 sd_em.py[line:59] INFO start sd_em
2016-04-26 14:36:19,466 sd_em.py[line:63] INFO cleaned  area:中国 河北省 西藏
2016-04-26 14:36:19,467 sd_em.py[line:64] INFO selected indi:GDP
2016-04-26 14:36:25,789 sd_em.py[line:59] INFO start sd_em
2016-04-26 14:36:25,801 sd_em.py[line:63] INFO cleaned  area:中国 河北省
2016-04-26 14:36:25,802 sd_em.py[line:64] INFO selected indi:GDP
2016-04-26 14:36:36,838 sd_em.py[line:59] INFO start sd_em
2016-04-26 14:36:36,849 sd_em.py[line:63] INFO cleaned  area:河北省 海南省 西藏
2016-04-26 14:36:36,849 sd_em.py[line:64] INFO selected indi:GDP
2016-04-27 17:10:08,042 sd_em.py[line:59] INFO start sd_em
2016-04-27 17:10:08,055 sd_em.py[line:63] INFO cleaned  area:内蒙古 北京市 天津市 山西省 河北省
2016-04-27 17:10:08,055 sd_em.py[line:64] INFO selected indi:GDP 第一产业增加值 第三产业增加值 第二产业增加值
2016-05-05 11:25:42,926 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:25:42,937 sd_em.py[line:63] INFO cleaned  area:中国 北京市
2016-05-05 11:25:42,937 sd_em.py[line:64] INFO selected indi:GDP GDP指数 人均GDP
2016-05-05 11:25:57,946 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:25:57,957 sd_em.py[line:63] INFO cleaned  area:中国 北京市
2016-05-05 11:25:57,959 sd_em.py[line:64] INFO selected indi:GDP 人均GDP
2016-05-05 11:26:00,871 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:26:00,881 sd_em.py[line:63] INFO cleaned  area:中国 北京市
2016-05-05 11:26:00,882 sd_em.py[line:64] INFO selected indi:GDP 人均GDP
2016-05-05 11:26:08,167 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:26:08,180 sd_em.py[line:63] INFO cleaned  area:中国 北京市 天津市 山西省 河北省
2016-05-05 11:26:08,180 sd_em.py[line:64] INFO selected indi:GDP 人均GDP
2016-05-05 11:26:20,312 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:26:20,323 sd_em.py[line:63] INFO cleaned  area:中国 北京市 天津市 山西省 河北省
2016-05-05 11:26:20,325 sd_em.py[line:64] INFO selected indi:GDP 人均GDP
2016-05-05 11:26:34,157 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:26:34,167 sd_em.py[line:63] INFO cleaned  area:中国 北京市 天津市 山西省 河北省
2016-05-05 11:26:34,167 sd_em.py[line:64] INFO selected indi:GDP GDP增长率 GDP指数 人均GDP 人均GDP指数
2016-05-05 11:26:49,115 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:26:49,128 sd_em.py[line:63] INFO cleaned  area:北京市 天津市 山西省 河北省
2016-05-05 11:26:49,128 sd_em.py[line:64] INFO selected indi:GDP GDP增长率 GDP指数 人均GDP 人均GDP指数
2016-05-05 11:27:02,266 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:27:02,279 sd_em.py[line:63] INFO cleaned  area:上海市 北京市 天津市 山东省 山西省 河北省 河南省 海南省 甘肃省 重庆市 陕西省
2016-05-05 11:27:02,279 sd_em.py[line:64] INFO selected indi:GDP GDP增长率 GDP指数 人均GDP 人均GDP指数
2016-05-05 11:28:07,828 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:28:07,839 sd_em.py[line:63] INFO cleaned  area:中国
2016-05-05 11:28:07,841 sd_em.py[line:64] INFO selected indi:GDP GDP指数 人均GDP 人均GDP增长率
2016-05-05 11:28:22,404 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:28:22,414 sd_em.py[line:63] INFO cleaned  area:呼伦贝尔市 呼和浩特市
2016-05-05 11:28:22,415 sd_em.py[line:64] INFO selected indi:GDP GDP指数 人均GDP
2016-05-05 11:28:37,828 sd_em.py[line:59] INFO start sd_em
2016-05-05 11:28:37,841 sd_em.py[line:63] INFO cleaned  area:中国
