时间顺序排序	地区	正式指标	正式数值	正式单位
2000年	黑河市	GDP(市辖区)	128687	万元
2001年	黑河市	GDP(市辖区)	150118	万元
2002年	黑河市	GDP(市辖区)	165792	万元
2003年	黑河市	GDP(市辖区)	176927	万元
2004年	黑河市	GDP(市辖区)	205032	万元
2005年	黑河市	GDP(市辖区)	227613	万元
2006年	黑河市	GDP(市辖区)	250459	万元
2007年	黑河市	GDP(市辖区)	289765	万元
2008年	黑河市	GDP(市辖区)	332247	万元
2009年	黑河市	GDP(市辖区)	394194	万元
2010年	黑河市	GDP(市辖区)	402868	万元
2011年	黑河市	GDP(市辖区)	484650	万元
2012年	黑河市	GDP(市辖区)	256105	万元
2013年	黑河市	GDP(市辖区)	272854	万元
2000年	黑河市	GDP	76.6	亿元
2001年	黑河市	GDP	82.5	亿元
2002年	黑河市	GDP	84.2934	亿元
2003年	黑河市	GDP	97.1388	亿元
2004年	黑河市	GDP	112.3	亿元
2005年	黑河市	GDP	120.5	亿元
2006年	黑河市	GDP	135.7	亿元
2007年	黑河市	GDP	166.3188	亿元
2008年	黑河市	GDP	205.6219	亿元
2009年	黑河市	GDP	224.21	亿元
2010年	黑河市	GDP	261.1	亿元
2011年	黑河市	GDP	316.05	亿元
2012年	黑河市	GDP	366.1	亿元
2013年	黑河市	GDP	389.6462	亿元
2014年	黑河市	GDP	421.4	亿元
2005年	黑河市	单位GDP能耗	1.24	吨标准煤/万元
2006年	黑河市	单位GDP能耗	1.224	吨标准煤/万元
2007年	黑河市	单位GDP能耗	1.18	吨标准煤/万元
2008年	黑河市	单位GDP能耗	1.1312	吨标准煤/万元
2009年	黑河市	单位GDP能耗	1.0629	吨标准煤/万元
2010年	黑河市	单位GDP能耗	1.02	吨标准煤/万元
2011年	黑河市	单位GDP能耗	0.825	吨标准煤/万元
2012年	黑河市	单位GDP能耗	0.8078	吨标准煤/万元
2013年	黑河市	单位GDP能耗	0.7802	吨标准煤/万元
2014年	黑河市	单位GDP能耗	0.7535	吨标准煤/万元
